"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"341","Ohio State University-Main Campus",2016,44845,10037,109660
"342","Ohio University-Main Campus",2016,20623,11548,81801
"343","University of Toledo",2016,10842,9244,78621
"344","Oklahoma State University-Main Campus",2016,13055,7778,82109
"345","University of Oklahoma-Norman Campus",2016,14391,10090,85747
"346","University of Tulsa",2016,8089,39521,96752
"347","Oregon State University",2016,14595,10107,84243
"348","University of Oregon",2016,21821,10287,90284
"349","Pennsylvania State University-Main Campus",2016,52974,17514,102129
"350","Temple University",2016,33139,15188,93726
"351","Clemson University",2016,23506,14272,89491
"352","University of South Carolina-Columbia",2016,25057,11482,95825
"353","Coastal Carolina University",2016,17768,10530,70124
"354","University of Memphis",2016,21392,8903,77407
"355","Middle Tennessee State University",2016,8538,8080,63529
"356","The University of Tennessee-Knoxville",2016,17583,12436,96909
"357","Vanderbilt University",2016,32442,44712,116972
"358","Baylor University",2016,34636,40198,85211
"359","University of Houston",2016,19860,8759,101293
"360","University of North Texas",2016,16826,9730,91008
"361","Rice University",2016,18236,42253,138607
"362","Southern Methodist University",2016,13250,48190,110626
"363","Texas State University",2016,22701,9348,71856
"364","Texas A & M University-College Station",2016,34780,10176,101957
"365","The University of Texas at Austin",2016,47511,9806,106664
"366","The University of Texas at El Paso",2016,7134,7259,79714
"367","Texas Christian University",2016,19972,40720,99338
"368","The University of Texas at San Antonio",2016,15500,7447,79403
"369","Texas Tech University",2016,23311,8028,80703
"370","Brigham Young University",2016,12739,5150,94735
"371","Utah State University",2016,15401,7260,79177
"372","University of Utah",2016,14308,8197,88422
"373","Liberty University",2016,35627,20109,42870
"374","Old Dominion University",2016,11352,9480,80137
"375","Virginia Polytechnic Institute and State University",2016,25000,12485,98101
"376","University of Virginia-Main Campus",2016,32377,15192,122466
"377","Washington State University",2016,23223,11967,87764
"378","University of Washington-Seattle Campus",2016,43517,11839,107873
"379","Marshall University",2016,4891,6814,64314
"380","West Virginia University",2016,21558,7632,86226
"381","University of Wisconsin-Madison",2016,32839,10415,106320
"382","University of Wyoming",2016,4883,4892,84258
"383","Stanford University",2016,43997,46320,199387
"384","Purdue University-Main Campus",2016,49007,10002,106817
"385","University of Alabama at Birmingham",2017,7555,8040,95028
"386","The University of Alabama",2017,38129,10470,90868
"387","Auburn University",2017,18072,10696,91030
"388","University of South Alabama",2017,5898,7548,65168
"389","Troy University",2017,7367,8260,58050
"390","Arizona State University Campus Immersion",2017,24127,10370,102220
"391","University of Arizona",2017,33608,11789,98087
"392","University of Arkansas",2017,21715,8820,87058
"393","Arkansas State University",2017,5683,8200,63867
"394","California State University-Fresno",2017,17920,6313,82899
"395","University of California-Berkeley",2017,85044,13509,149427
"396","University of California-Los Angeles",2017,102225,12920,162148
"397","San Diego State University",2017,60910,7084,95311
"398","San Jose State University",2017,31909,7418,92748
"399","University of Southern California",2017,56676,52283,130552
"400","University of Colorado Boulder",2017,36148,11531,101847
"401","Colorado State University-Fort Collins",2017,23137,11080,88194
"402","United States Air Force Academy",2017,10202,NA,81392
"403","University of Connecticut",2017,34198,14066,108246
